,Round,A Move,B Move,A Payoff,B Payoff,A Cumulative,B Cumulative
0,1,Stay Silent,Stay Silent,2,2,2,2
1,2,Stay Silent,Confess,-1,3,1,5
2,3,Stay Silent,Stay Silent,2,2,3,7
3,4,Confess,Stay Silent,3,-1,6,6
4,5,Stay Silent,Confess,-1,3,5,9
5,6,Stay Silent,Stay Silent,2,2,7,11
6,7,Stay Silent,Stay Silent,2,2,9,13
7,8,Stay Silent,Stay Silent,2,2,11,15
8,9,Confess,Confess,0,0,11,15
9,10,Stay Silent,Stay Silent,2,2,13,17
10,11,Stay Silent,Stay Silent,2,2,15,19
11,12,Stay Silent,Stay Silent,2,2,17,21
12,13,Stay Silent,Stay Silent,2,2,19,23
13,14,Confess,Stay Silent,3,-1,22,22
14,15,Stay Silent,Confess,-1,3,21,25
15,16,Stay Silent,Stay Silent,2,2,23,27
16,17,Stay Silent,Stay Silent,2,2,25,29
17,18,Stay Silent,Confess,-1,3,24,32
18,19,Confess,Stay Silent,3,-1,27,31
19,20,Stay Silent,Stay Silent,2,2,29,33
20,21,Stay Silent,Stay Silent,2,2,31,35
21,22,Stay Silent,Stay Silent,2,2,33,37
22,23,Stay Silent,Stay Silent,2,2,35,39
23,24,Stay Silent,Stay Silent,2,2,37,41
24,25,Stay Silent,Stay Silent,2,2,39,43
25,26,Confess,Confess,0,0,39,43
26,27,Stay Silent,Stay Silent,2,2,41,45
27,28,Stay Silent,Stay Silent,2,2,43,47
28,29,Stay Silent,Stay Silent,2,2,45,49
29,30,Stay Silent,Confess,-1,3,44,52
30,31,Stay Silent,Stay Silent,2,2,46,54
31,32,Stay Silent,Stay Silent,2,2,48,56
32,33,Stay Silent,Stay Silent,2,2,50,58
33,34,Stay Silent,Confess,-1,3,49,61
34,35,Stay Silent,Stay Silent,2,2,51,63
35,36,Stay Silent,Stay Silent,2,2,53,65
36,37,Confess,Stay Silent,3,-1,56,64
37,38,Stay Silent,Confess,-1,3,55,67
38,39,Stay Silent,Stay Silent,2,2,57,69
39,40,Stay Silent,Stay Silent,2,2,59,71
40,41,Confess,Stay Silent,3,-1,62,70
41,42,Stay Silent,Confess,-1,3,61,73
42,43,Confess,Confess,0,0,61,73
43,44,Stay Silent,Stay Silent,2,2,63,75
44,45,Stay Silent,Stay Silent,2,2,65,77
45,46,Stay Silent,Stay Silent,2,2,67,79
46,47,Confess,Stay Silent,3,-1,70,78
47,48,Stay Silent,Confess,-1,3,69,81
48,49,Stay Silent,Stay Silent,2,2,71,83
49,50,Stay Silent,Stay Silent,2,2,73,85
