,Round,A Move,B Move,A Payoff,B Payoff,A Cumulative,B Cumulative
0,1,Confess,Confess,0,0,0,0
1,2,Stay Silent,Confess,-1,3,-1,3
2,3,Confess,Confess,0,0,-1,3
3,4,Confess,Stay Silent,3,-1,2,2
4,5,Confess,Stay Silent,3,-1,5,1
5,6,Stay Silent,Confess,-1,3,4,4
6,7,Confess,Confess,0,0,4,4
7,8,Confess,Stay Silent,3,-1,7,3
8,9,Stay Silent,Stay Silent,2,2,9,5
9,10,Confess,Confess,0,0,9,5
10,11,Confess,Confess,0,0,9,5
11,12,Confess,Stay Silent,3,-1,12,4
12,13,Stay Silent,Confess,-1,3,11,7
13,14,Confess,Stay Silent,3,-1,14,6
14,15,Confess,Stay Silent,3,-1,17,5
15,16,Confess,Confess,0,0,17,5
16,17,Confess,Confess,0,0,17,5
17,18,Confess,Confess,0,0,17,5
18,19,Stay Silent,Confess,-1,3,16,8
19,20,Confess,Confess,0,0,16,8
20,21,Stay Silent,Stay Silent,2,2,18,10
21,22,Confess,Confess,0,0,18,10
22,23,Stay Silent,Confess,-1,3,17,13
23,24,Confess,Confess,0,0,17,13
24,25,Confess,Confess,0,0,17,13
25,26,Confess,Stay Silent,3,-1,20,12
26,27,Stay Silent,Confess,-1,3,19,15
27,28,Stay Silent,Confess,-1,3,18,18
28,29,Confess,Confess,0,0,18,18
29,30,Confess,Confess,0,0,18,18
30,31,Stay Silent,Confess,-1,3,17,21
31,32,Confess,Stay Silent,3,-1,20,20
32,33,Confess,Stay Silent,3,-1,23,19
33,34,Stay Silent,Confess,-1,3,22,22
34,35,Confess,Confess,0,0,22,22
35,36,Confess,Confess,0,0,22,22
36,37,Confess,Confess,0,0,22,22
37,38,Confess,Confess,0,0,22,22
38,39,Confess,Stay Silent,3,-1,25,21
39,40,Stay Silent,Confess,-1,3,24,24
40,41,Stay Silent,Confess,-1,3,23,27
41,42,Confess,Confess,0,0,23,27
42,43,Confess,Confess,0,0,23,27
43,44,Confess,Stay Silent,3,-1,26,26
44,45,Stay Silent,Stay Silent,2,2,28,28
45,46,Stay Silent,Confess,-1,3,27,31
46,47,Stay Silent,Confess,-1,3,26,34
47,48,Confess,Confess,0,0,26,34
48,49,Stay Silent,Confess,-1,3,25,37
49,50,Stay Silent,Confess,-1,3,24,40
