,Round,A Move,B Move,A Payoff,B Payoff,A Cumulative,B Cumulative
0,1,Stay Silent,Stay Silent,2,2,2,2
1,2,Stay Silent,Stay Silent,2,2,4,4
2,3,Confess,Stay Silent,3,-1,7,3
3,4,Stay Silent,Stay Silent,2,2,9,5
4,5,Stay Silent,Stay Silent,2,2,11,7
5,6,Stay Silent,Stay Silent,2,2,13,9
6,7,Stay Silent,Stay Silent,2,2,15,11
7,8,Stay Silent,Stay Silent,2,2,17,13
8,9,Stay Silent,Stay Silent,2,2,19,15
9,10,Stay Silent,Stay Silent,2,2,21,17
10,11,Stay Silent,Stay Silent,2,2,23,19
11,12,Stay Silent,Stay Silent,2,2,25,21
12,13,Stay Silent,Stay Silent,2,2,27,23
13,14,Stay Silent,Stay Silent,2,2,29,25
14,15,Stay Silent,Stay Silent,2,2,31,27
15,16,Stay Silent,Stay Silent,2,2,33,29
16,17,Stay Silent,Stay Silent,2,2,35,31
17,18,Stay Silent,Stay Silent,2,2,37,33
18,19,Stay Silent,Stay Silent,2,2,39,35
19,20,Stay Silent,Stay Silent,2,2,41,37
20,21,Stay Silent,Stay Silent,2,2,43,39
21,22,Stay Silent,Stay Silent,2,2,45,41
22,23,Stay Silent,Stay Silent,2,2,47,43
23,24,Stay Silent,Stay Silent,2,2,49,45
24,25,Stay Silent,Stay Silent,2,2,51,47
25,26,Stay Silent,Stay Silent,2,2,53,49
26,27,Stay Silent,Stay Silent,2,2,55,51
27,28,Stay Silent,Stay Silent,2,2,57,53
28,29,Stay Silent,Stay Silent,2,2,59,55
29,30,Stay Silent,Stay Silent,2,2,61,57
30,31,Stay Silent,Stay Silent,2,2,63,59
31,32,Stay Silent,Stay Silent,2,2,65,61
32,33,Stay Silent,Stay Silent,2,2,67,63
33,34,Stay Silent,Stay Silent,2,2,69,65
34,35,Stay Silent,Stay Silent,2,2,71,67
35,36,Stay Silent,Stay Silent,2,2,73,69
36,37,Stay Silent,Stay Silent,2,2,75,71
37,38,Stay Silent,Stay Silent,2,2,77,73
38,39,Stay Silent,Stay Silent,2,2,79,75
39,40,Stay Silent,Stay Silent,2,2,81,77
40,41,Stay Silent,Stay Silent,2,2,83,79
41,42,Stay Silent,Stay Silent,2,2,85,81
42,43,Stay Silent,Stay Silent,2,2,87,83
43,44,Stay Silent,Stay Silent,2,2,89,85
44,45,Stay Silent,Stay Silent,2,2,91,87
45,46,Stay Silent,Stay Silent,2,2,93,89
46,47,Stay Silent,Stay Silent,2,2,95,91
47,48,Stay Silent,Stay Silent,2,2,97,93
48,49,Stay Silent,Stay Silent,2,2,99,95
49,50,Stay Silent,Stay Silent,2,2,101,97
